x	y
1.159	3.78E-05
1.16	3.76E-05
1.161	3.67E-05
1.162	3.50E-05
1.163	3.26E-05
1.164	2.94E-05
1.165	2.55E-05
1.166	2.09E-05
1.167	1.55E-05
1.168	9.43E-06
1.169	2.60E-06
1.17	4.55E-06
1.171	1.10E-05
1.172	1.67E-05
1.173	2.17E-05
1.174	2.60E-05
1.175	2.95E-05
1.176	3.23E-05
1.177	3.44E-05
1.178	3.58E-05
1.179	3.65E-05
1.18	3.64E-05
1.181	3.56E-05
1.182	3.41E-05
1.183	3.19E-05
1.184	2.90E-05
1.185	2.53E-05
1.186	2.10E-05
1.187	1.59E-05
1.188	1.01E-05
1.189	3.63E-06
1.19	3.33E-06
1.191	9.68E-06
1.192	1.53E-05
1.193	2.03E-05
1.194	2.45E-05
1.195	2.80E-05
1.196	3.09E-05
1.197	3.30E-05
1.198	3.45E-05
1.199	3.52E-05
1.2	3.52E-05
1.201	3.46E-05
1.202	3.33E-05
1.203	3.12E-05
1.204	2.85E-05
1.205	2.51E-05
1.206	2.10E-05
1.207	1.62E-05
1.208	1.07E-05
1.209	4.56E-06
1.21	2.16E-06
1.211	8.41E-06
1.212	1.40E-05
1.213	1.89E-05
1.214	2.31E-05
1.215	2.66E-05
1.216	2.95E-05
1.217	3.16E-05
1.218	3.31E-05
1.219	3.40E-05
1.22	3.41E-05
1.221	3.36E-05
1.222	3.24E-05
1.223	3.06E-05
1.224	2.80E-05
1.225	2.48E-05
1.226	2.10E-05
1.227	1.65E-05
1.228	1.13E-05
1.229	5.42E-06
1.23	1.05E-06
1.231	7.21E-06
1.232	1.27E-05
1.233	1.75E-05
1.234	2.17E-05
1.235	2.52E-05
1.236	2.81E-05
1.237	3.03E-05
1.238	3.19E-05
1.239	3.28E-05
1.24	3.30E-05
1.241	3.27E-05
1.242	3.16E-05
1.243	2.99E-05
1.244	2.76E-05
1.245	2.46E-05
1.246	2.10E-05
1.247	1.67E-05
1.248	1.18E-05
1.249	6.20E-06
1.25	3.61E-16
1.251	6.06E-06
1.252	1.15E-05
1.253	1.63E-05
1.254	2.04E-05
1.255	2.39E-05
1.256	2.68E-05
1.257	2.91E-05
1.258	3.07E-05
1.259	3.17E-05
1.26	3.20E-05
1.261	3.17E-05
1.262	3.08E-05
1.263	2.93E-05
1.264	2.71E-05
1.265	2.43E-05
1.266	2.09E-05
1.267	1.69E-05
1.268	1.22E-05
1.269	6.92E-06
1.27	1.01E-06
1.271	4.97E-06
1.272	1.03E-05
1.273	1.51E-05
1.274	1.92E-05
1.275	2.27E-05
1.276	2.56E-05
1.277	2.78E-05
1.278	2.95E-05
1.279	3.06E-05
1.28	3.10E-05
1.281	3.08E-05
1.282	3.00E-05
1.283	2.86E-05
1.284	2.66E-05
1.285	2.40E-05
1.286	2.08E-05
1.287	1.70E-05
1.288	1.26E-05
1.289	7.57E-06
1.29	1.94E-06
1.291	3.92E-06
1.292	9.21E-06
1.293	1.39E-05
1.294	1.80E-05
1.295	2.15E-05
1.296	2.44E-05
1.297	2.67E-05
1.298	2.84E-05
1.299	2.95E-05
1.3	3.00E-05
1.301	2.99E-05
1.302	2.93E-05
1.303	2.80E-05
1.304	2.62E-05
1.305	2.37E-05
1.306	2.07E-05
1.307	1.71E-05
1.308	1.29E-05
1.309	8.16E-06
1.31	2.80E-06
1.311	2.92E-06
1.312	8.14E-06
1.313	1.28E-05
1.314	1.68E-05
1.315	2.03E-05
1.316	2.32E-05
1.317	2.55E-05
1.318	2.73E-05
1.319	2.85E-05
1.32	2.91E-05
1.321	2.91E-05
1.322	2.85E-05
1.323	2.74E-05
1.324	2.57E-05
1.325	2.34E-05
1.326	2.06E-05
1.327	1.72E-05
1.328	1.32E-05
1.329	8.70E-06
1.33	3.59E-06
1.331	1.96E-06
1.332	7.12E-06
1.333	1.17E-05
1.334	1.57E-05
1.335	1.92E-05
1.336	2.21E-05
1.337	2.45E-05
1.338	2.62E-05
1.339	2.75E-05
1.34	2.81E-05
1.341	2.82E-05
1.342	2.78E-05
1.343	2.68E-05
1.344	2.52E-05
1.345	2.31E-05
1.346	2.05E-05
1.347	1.73E-05
1.348	1.35E-05
1.349	9.19E-06
1.35	4.32E-06
1.351	1.05E-06
1.352	6.14E-06
1.353	1.07E-05
1.354	1.47E-05
1.355	1.81E-05
1.356	2.10E-05
1.357	2.34E-05
1.358	2.52E-05
1.359	2.65E-05
1.36	2.72E-05
1.361	2.74E-05
1.362	2.71E-05
1.363	2.62E-05
1.364	2.48E-05
1.365	2.28E-05
1.366	2.03E-05
1.367	1.73E-05
1.368	1.37E-05
1.369	9.63E-06
1.37	4.99E-06
1.371	1.71E-07
1.372	5.20E-06
1.373	9.70E-06
1.374	1.37E-05
1.375	1.71E-05
1.376	2.00E-05
1.377	2.24E-05
1.378	2.42E-05
1.379	2.56E-05
1.38	2.64E-05
1.381	2.66E-05
1.382	2.64E-05
1.383	2.56E-05
1.384	2.43E-05
1.385	2.25E-05
1.386	2.02E-05
1.387	1.73E-05
1.388	1.39E-05
1.389	1.00E-05
1.39	5.61E-06
1.391	6.74E-07
1.392	4.30E-06
1.393	8.75E-06
1.394	1.27E-05
1.395	1.61E-05
1.396	1.90E-05
1.397	2.14E-05
1.398	2.33E-05
1.399	2.47E-05
1.4	2.55E-05
