x	y
3.115	5.97E-05
3.125	3.00E-05
3.135	5.10E-05
3.145	6.19E-05
3.155	6.27E-05
3.165	5.34E-05
3.175	3.42E-05
3.185	5.02E-06
3.195	3.40E-05
3.205	8.28E-05
3.215	4.98E-05
3.225	2.65E-05
3.235	1.28E-05
3.245	8.67E-06
3.255	7.75E-05
3.265	6.27E-05
3.275	3.86E-05
3.285	3.56E-05
3.295	5.39E-05
3.305	6.29E-05
3.315	6.28E-05
3.325	5.37E-05
3.335	3.54E-05
3.345	8.20E-06
3.355	2.80E-05
3.365	1.20E-05
3.375	2.57E-05
3.385	2.41E-05
3.395	4.42E-05
3.405	5.57E-05
3.415	2.81E-05
3.425	2.24E-05
3.435	2.24E-05
3.445	1.59E-05
3.455	1.53E-05
3.465	3.69E-05
3.475	5.00E-05
3.485	2.44E-05
3.495	2.11E-05
3.505	7.06E-05
3.515	5.10E-05
3.525	5.38E-05
3.535	7.90E-05
3.545	9.63E-05
3.555	0.000105551536454
3.565	7.64E-05
3.575	6.99E-05
3.585	5.56E-05
3.595	3.35E-05
3.605	6.47E-05
3.615	8.82E-05
3.625	7.35E-05
3.635	8.18E-05
3.645	8.24E-05
3.655	7.56E-05
3.665	6.12E-05
3.675	3.95E-05
3.685	4.08E-05
3.695	6.53E-05
3.705	5.19E-05
3.715	3.13E-05
3.725	3.39E-05
3.735	1.20E-06
3.745	4.35E-05
3.755	2.92E-05
3.765	3.37E-05
3.775	6.18E-05
3.785	5.22E-05
3.795	3.57E-05
3.805	4.28E-05
3.815	1.24E-05
3.825	2.48E-05
3.835	7.81E-06
3.845	3.29E-05
3.855	3.63E-05
3.865	6.35E-05
3.875	5.35E-05
3.885	3.68E-05
3.895	4.40E-05
3.905	1.41E-05
3.915	3.87E-05
3.925	5.68E-05
3.935	6.84E-05
3.945	7.35E-05
3.955	7.22E-05
3.965	6.44E-05
3.975	5.04E-05
3.985	3.00E-05
3.995	3.38E-05
4.005	9.24E-05
4.015	8.37E-05
4.025	6.89E-05
4.035	4.78E-05
4.045	2.06E-05
4.055	1.27E-05
4.065	5.21E-05
4.075	5.96E-06
4.085	3.61E-06
4.095	7.20E-06
4.105	4.82E-06
4.115	3.50E-06
4.125	1.77E-05
4.135	3.78E-05
4.145	3.32E-05
4.155	3.45E-05
4.165	1.10E-05
4.175	2.38E-05
4.185	1.19E-05
4.195	3.61E-05
4.205	3.55E-05
4.215	4.06E-05
4.225	5.13E-05
4.235	3.71E-05
4.245	2.84E-05
4.255	3.57E-05
4.265	6.38E-05
4.275	5.58E-05
4.285	4.24E-05
4.295	2.36E-05
4.305	2.98E-05
4.315	3.07E-05
4.325	2.62E-05
4.335	1.63E-05
4.345	3.16E-05
4.355	1.11E-05
4.365	1.46E-05
4.375	4.56E-05
4.385	2.08E-05
4.395	1.22E-06
4.405	1.32E-05
4.415	2.25E-05
4.425	2.66E-05
4.435	8.67E-05
4.445	8.07E-05
4.455	6.95E-05
4.465	5.34E-05
4.475	3.22E-05
4.485	6.07E-06
4.495	2.51E-05
4.505	9.72E-08
4.515	1.99E-05
4.525	3.51E-05
4.535	4.53E-05
4.545	5.07E-05
4.555	0.000112249461922
4.565	0.000107967171932
4.575	9.89E-05
4.585	8.50E-05
4.595	0.000127447213901
4.605	0.00010409548852
4.615	7.60E-05
4.625	4.33E-05
4.635	6.69E-05
4.645	2.48E-05
4.655	2.20E-05
4.665	4.88E-05
4.675	5.39E-05
4.685	5.44E-05
4.695	5.04E-05
4.705	0.000102823818593
4.715	8.97E-05
4.725	7.22E-05
4.735	5.01E-05
4.745	8.46E-05
4.755	0.000114664747354
4.765	7.93E-05
4.775	3.95E-05
4.785	5.63E-05
4.795	7.79E-06
4.805	1.59E-05
4.815	1.97E-05
4.825	8.03E-05
4.835	7.55E-05
4.845	6.64E-05
4.855	0.000114082212038
4.865	9.65E-05
4.875	7.47E-05
4.885	4.87E-05
4.895	7.95E-05
4.905	4.51E-05
4.915	6.60E-06
4.925	3.61E-05
4.935	2.18E-05
4.945	1.17E-05
4.955	5.66E-06
4.965	5.73E-05
4.975	5.53E-05
4.985	4.91E-05
4.995	3.90E-05
5.005	8.59E-05
5.015	6.77E-05
5.025	4.56E-05
5.035	1.95E-05
5.045	1.05E-05
5.055	1.65E-05
5.065	2.14E-05
5.075	2.09E-06
5.085	1.33E-05
5.095	2.48E-05
5.105	3.25E-05
5.115	3.63E-05
5.125	3.63E-05
5.135	3.25E-05
5.145	8.59E-05
5.155	7.45E-05
5.165	5.94E-05
5.175	4.05E-05
5.185	1.79E-05
5.195	8.45E-06
5.205	3.85E-05
5.215	1.12E-05
5.225	1.24E-05
5.235	3.24E-05
5.245	4.87E-05
5.255	6.14E-05
5.265	7.04E-05
5.275	7.58E-05
5.285	7.77E-05
5.295	7.60E-05
5.305	7.07E-05
5.315	6.18E-05
5.325	1.16E-05
5.335	2.75E-05
5.345	4.70E-05
5.355	6.99E-05
5.365	3.53E-05
5.375	4.12E-06
5.385	2.36E-05
5.395	1.32E-05
5.405	7.56E-06
5.415	2.49E-05
5.425	2.21E-05
5.435	1.16E-05
5.445	4.39E-06
5.455	5.84E-07
5.465	6.12E-05
5.475	6.41E-05
5.485	7.03E-05
