x	y
1.369	1.37E-05
1.37	9.64E-06
1.371	5.01E-06
1.372	1.50E-07
1.373	5.18E-06
1.374	9.68E-06
1.375	1.36E-05
1.376	1.71E-05
1.377	2.00E-05
1.378	2.24E-05
1.379	2.42E-05
1.38	2.56E-05
1.381	2.64E-05
1.382	2.67E-05
1.383	2.64E-05
1.384	2.57E-05
1.385	2.44E-05
1.386	2.26E-05
1.387	2.03E-05
1.388	1.74E-05
1.389	1.40E-05
1.39	1.02E-05
1.391	5.75E-06
1.392	8.36E-07
1.393	4.15E-06
1.394	8.62E-06
1.395	1.26E-05
1.396	1.60E-05
1.397	1.89E-05
1.398	2.14E-05
1.399	2.33E-05
1.4	2.46E-05
1.401	2.55E-05
1.402	2.59E-05
1.403	2.58E-05
1.404	2.51E-05
1.405	2.40E-05
1.406	2.23E-05
1.407	2.01E-05
1.408	1.75E-05
1.409	1.43E-05
1.41	1.06E-05
1.411	6.43E-06
1.412	1.75E-06
1.413	3.16E-06
1.414	7.60E-06
1.415	1.15E-05
1.416	1.50E-05
1.417	1.79E-05
1.418	2.03E-05
1.419	2.23E-05
1.42	2.37E-05
1.421	2.47E-05
1.422	2.51E-05
1.423	2.51E-05
1.424	2.46E-05
1.425	2.35E-05
1.426	2.20E-05
1.427	2.00E-05
1.428	1.75E-05
1.429	1.45E-05
1.43	1.10E-05
1.431	7.06E-06
1.432	2.60E-06
1.433	2.20E-06
1.434	6.61E-06
1.435	1.05E-05
1.436	1.40E-05
1.437	1.69E-05
1.438	1.94E-05
1.439	2.13E-05
1.44	2.28E-05
1.441	2.39E-05
1.442	2.44E-05
1.443	2.44E-05
1.444	2.40E-05
1.445	2.31E-05
1.446	2.17E-05
1.447	1.99E-05
1.448	1.75E-05
1.449	1.47E-05
1.45	1.14E-05
1.451	7.62E-06
1.452	3.38E-06
1.453	1.28E-06
1.454	5.66E-06
1.455	9.56E-06
1.456	1.30E-05
1.457	1.59E-05
1.458	1.84E-05
1.459	2.04E-05
1.46	2.20E-05
1.461	2.31E-05
1.462	2.37E-05
1.463	2.38E-05
1.464	2.35E-05
1.465	2.27E-05
1.466	2.14E-05
1.467	1.97E-05
1.468	1.75E-05
1.469	1.48E-05
1.47	1.17E-05
1.471	8.14E-06
1.472	4.10E-06
1.473	3.95E-07
1.474	4.74E-06
1.475	8.62E-06
1.476	1.20E-05
1.477	1.50E-05
1.478	1.75E-05
1.479	1.95E-05
1.48	2.11E-05
1.481	2.23E-05
1.482	2.29E-05
1.483	2.32E-05
1.484	2.29E-05
1.485	2.22E-05
1.486	2.11E-05
1.487	1.95E-05
1.488	1.75E-05
1.489	1.50E-05
1.49	1.20E-05
1.491	8.61E-06
1.492	4.76E-06
1.493	4.65E-07
1.494	3.85E-06
1.495	7.71E-06
1.496	1.11E-05
1.497	1.41E-05
1.498	1.66E-05
1.499	1.87E-05
1.5	2.03E-05
1.501	2.15E-05
1.502	2.22E-05
1.503	2.25E-05
1.504	2.24E-05
1.505	2.18E-05
1.506	2.08E-05
1.507	1.93E-05
1.508	1.74E-05
1.509	1.51E-05
1.51	1.23E-05
1.511	9.04E-06
1.512	5.38E-06
1.513	1.27E-06
1.514	2.99E-06
1.515	6.83E-06
1.516	1.02E-05
1.517	1.32E-05
1.518	1.57E-05
1.519	1.78E-05
1.52	1.95E-05
1.521	2.07E-05
1.522	2.16E-05
1.523	2.19E-05
1.524	2.19E-05
1.525	2.14E-05
1.526	2.05E-05
1.527	1.91E-05
1.528	1.73E-05
1.529	1.51E-05
1.53	1.25E-05
1.531	9.43E-06
1.532	5.94E-06
1.533	2.03E-06
1.534	2.16E-06
1.535	5.98E-06
1.536	9.38E-06
1.537	1.24E-05
1.538	1.49E-05
1.539	1.70E-05
1.54	1.87E-05
1.541	2.00E-05
1.542	2.09E-05
1.543	2.13E-05
1.544	2.13E-05
1.545	2.09E-05
1.546	2.01E-05
1.547	1.89E-05
1.548	1.72E-05
1.549	1.52E-05
1.55	1.27E-05
1.551	9.78E-06
1.552	6.46E-06
1.553	2.72E-06
1.554	1.36E-06
1.555	5.16E-06
1.556	8.54E-06
1.557	1.15E-05
1.558	1.41E-05
1.559	1.62E-05
1.56	1.80E-05
1.561	1.93E-05
1.562	2.02E-05
1.563	2.07E-05
1.564	2.08E-05
1.565	2.05E-05
1.566	1.98E-05
1.567	1.87E-05
1.568	1.71E-05
1.569	1.52E-05
1.57	1.28E-05
1.571	1.01E-05
1.572	6.93E-06
1.573	3.37E-06
1.574	5.78E-07
1.575	4.36E-06
1.576	7.74E-06
1.577	1.07E-05
1.578	1.33E-05
1.579	1.55E-05
1.58	1.72E-05
1.581	1.86E-05
1.582	1.96E-05
